/**MENU**/
The team;Equipa
Profile;Perfil
Work;Projectos
Contacts;Contactos
Type;Tipo
/****/

/**FILTRO**/
Refurbishment;Remodelação
Construction;Construção
Design;Design
All;Todos


/**CONTACTOS**/
Office;Sede
mob:;telm:
/****/


/**TEAM**/
Our targets and strategys;Os nossos objectivos e estratégias
Our targets and strategies;O nosso objectivo e estratégia
We are a team of architects based in Lisbon, London, and Amsterdam with strong relations in Macau – this makes it easy and practical to arrange meetings, discussions and presentations in all locations.;Somos uma equipa de arquitectos que trabalha em Lisboa, Londres e Amesterdão com fortes relações em Macau - o que faz com que seja fácil e prático preparar reuniões e apresentações em todos os locais.
We have studied and practice architecture in various ways, from the smallest object, office buildings, housing, to major urban strategies.;Procuramos através da constante investigação e actualização a prática arquitectónica, desde o objecto ao edifício, da casa aos planos urbanos.
We are connected by a shared vision of community and an ethical way of working where language and shape are secondary to thought and meaning.;Partilhamos uma visão de comunidade e uma ética de trabalho onde a forma e o desenho são secundários ao pensamento e ao significado.
Are you based in Amsterdam and want to develop a project in London?;Está em Amsterdão e quer desenvolver um projecto em Londres?
Are you living in England and need to renovate a house in Portugal?;Vive no Reino Unido e quer renovar a sua casa em Portugal?
Are you in Lisbon and need associations in Macau?;Encontra-se em Lisboa e procura contactos em Macau?
We can be your executive architect dealing with planning application processes or overseeing a building site locally while you meet a member of our team wherever you need.;Podemos ser o seu projectista, gestor de projecto/obra ou representá-lo no local.
/****/


/**PROFILE**/
What we do;O que fazemos
We are a full service architecture, planning, interior design team.;Somos uma equipa de arquitectos que presta serviços na área da arquitectura, design de interiores e planeamento.
We can help you define building and construction projects including:;Podemos projectar edifícios e construções incluindo:
Analysis of your space allocation needs;Resposta programática ás necessidades espaciais
Building surveys and site evaluation;Levantamento e avaliação do existente – terreno/construção
Establishing a preliminary construction budget and schedule;Orçamentos preliminares do valor da construção e faseamento da obra
Preliminary studies;Estudos preliminares
Proposals, plans, elevations, perspective drawings and renderings;Propostas, plantas, cortes e alçados, perspectivas e visualizações 3D
Documents for building and construction permit applications;Projectos Base e de Licenciamento de todas as especialidades
Design and build competitions;Concursos
Construction details;Projectos de execução (Processo construtivo detalhado para garantir a aplicação das técnicas construtivas propostas)
Consulting, project management and coordination;Assessoria, gestão e coordenação de projecto
Market feasibility studies;Propostas de viabilidade económica/construtiva
Sustainable Design;Design sustentável - Materiais e técnicas de construção "verde"
Technical Assistance;Assistência Técnica
Verification of applicable laws and building codes;Análise da aplicação dos códigos e legislação relativos á construção
Preparation of tender documents for works contracts;Análise de propostas e apoio à negociação de empreitadas
Sustainable construction;Construção sustentável
It is our goal to build a self-sustaining habitats, a living organism that is interconnected with its environment, sharing resources.;É nosso objectivo construir um habitat auto-sustentável, um organismo vivo que se inter-relaciona com o seu ambiente, partilhando recursos.
We investigate all technologies and construction methods in the search of cost-effective and enduring solutions.;Investigamos todas as tecnologias e métodos de construção na procura responsável da optimização e longevidade do edificado.
We focus on developing buildings and spaces that respond to context and environment.;Procuramos a intervenção no lugar na sua dimensão e diferentes escalas, desde o pequeno objecto, à casa, ao bairro, à cidade.
Passive solar architecture - design / project;Arquitectura solar passiva - desenho/projecto
Choice of air conditioning solutions / insulation / energy optimization;Escolha de soluções de climatização / isolamento / optimização energética
Use of eco-friendly materials;Uso de materiais eco-friendly
Choice of local materials - reduced carbon footprint;Escolha de materiais da região - diminuição da pegada de carbono
To work in Portugal, please read:;Para trabalho em Portugal, leia:
Link PDF;Link PDF
/****/


/**WORK**/
project;projetos
project list;lista de trabalhos
public;público
nossa sra da anunciação church;igreja nossa sra da anunciação
forum consultants ltd;escritórios da forum consultants ltd
olival basto comunity centre;centro comunitário de olival basto
industrial building in an entertainment building;conversão de edifício industrial em edifício de desporto
macau international airport 11 public toilets;11 instalações sanitárias no aeroporto international de macau
fire boat shelter;abrigo marítimo anti-incêndios
social welfare department office interior design;escritórios do instituto de acção social de macau
bivet veterinary clinic;clinica veterinaria bivet
marina restaurants;5 restaurantes de marina
customs office façade design;design da fachada da alfândega de macau
social welfare department office building;edifício do instituto de acção social de macau
cam office interior design and fit out;escritórios cam - design de interiores
flag – computer learning centre;flag – centro de formação de computadores
l.n.águas grundfos warehouse and offices;l.n.águas grundfos - escritório e armazém
aveiro building, (dental clinic, retail unit and restaurant);edifício aveiro, (clínica dentária, restaurante e pub)
pedestrian bridge;passagem de nível de alcochete
castro verde playground;campo de jogos de castro verde
jacinto faleiro elderly centre;lar jacinto faleiro
antónio prates foundation;fundação antónio prates
silves, tavira quarteira e lagoa’s healthcentres;centros de saúde de silves, tavira, quarteira e lagoa
retail;comércio
porto de abrigo restaurant;restaurante porto de abrigo
adega restaurant;restaurante adega
tutti sensi shop;loja tutti sensi
gourmet café – oficina do gosto;café gourmet – oficina do gosto
5 decoration shops for michele k;5 lojas michele k
jeweller’s shop;joalharia em alverca
tuxa hairdresser;tuxa cabeleireiro
residential;habitação
dr. raposo house;casa dr. raposo
plátanos condominium;condomínio dos plátanos - sintra
pero boi house;casa pero boi
old house refurbishment;remodelação de casa antiga - castelo de vide
3 houses;3 casas
carnaxide apartment;remodelação de apartamento em carnaxide
quinta mont-fleuri studio;quinta mont-fleuri - studio
alfaquiques house;casa em alfaquiques
albogas small house;casa em albogas small
portela kitchen layout;remodelação de cozinha na portela de sacavém
martim freire house;casa martim freire
claudia belchior house;casa claudia belchior
sassoeiros house;sassoeiros house
luis bivar avenue kitchen and w.c;execução das cozinhas e instalações sanitárias na av. luis bivar
lapa kitchen and w.c. construction details;execução das cozinhas e instalações sanitárias na lapa
